"Native" "Bytes" "Description"
"186" "🆗" "\xF0\x9F\x86\x97" "SQUARED OK"
"187" "🆘" "\xF0\x9F\x86\x98" "SQUARED SOS"
"188" "🆙" "\xF0\x9F\x86\x99" "SQUARED UP WITH EXCLAMATION MARK"
"189" "🆚" "\xF0\x9F\x86\x9A" "SQUARED VS"
"190" "🇩🇪" "\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA" "REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E"
"191" "🇬🇧" "\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7" "REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B"
"192" "🇨🇳" "\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3" "REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N"
"193" "🇯🇵" "\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5" "REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P"
"194" "🇰🇷" "\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7" "REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R"
"195" "🇫🇷" "\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7" "REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R"
"196" "🇪🇸" "\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8" "REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S"
"197" "🇮🇹" "\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9" "REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T"
"198" "🇺🇸" "\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8" "REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S"
"199" "🇷🇺" "\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA" "REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U"
"200" "🈁" "\xF0\x9F\x88\x81" "SQUARED KATAKANA KOKO"
"201" "🈂" "\xF0\x9F\x88\x82" "SQUARED KATAKANA SA"
"202" "🈚" "\xF0\x9F\x88\x9A" "SQUARED CJK UNIFIED IDEOGRAPH-7121"
"203" "🈯" "\xF0\x9F\x88\xAF" "SQUARED CJK UNIFIED IDEOGRAPH-6307"
"204" "🈲" "\xF0\x9F\x88\xB2" "SQUARED CJK UNIFIED IDEOGRAPH-7981"
"205" "🈳" "\xF0\x9F\x88\xB3" "SQUARED CJK UNIFIED IDEOGRAPH-7A7A"
"206" "🈴" "\xF0\x9F\x88\xB4" "SQUARED CJK UNIFIED IDEOGRAPH-5408"
"207" "🈵" "\xF0\x9F\x88\xB5" "SQUARED CJK UNIFIED IDEOGRAPH-6E80"
"208" "🈶" "\xF0\x9F\x88\xB6" "SQUARED CJK UNIFIED IDEOGRAPH-6709"
"209" "🈷" "\xF0\x9F\x88\xB7" "SQUARED CJK UNIFIED IDEOGRAPH-6708"
"210" "🈸" "\xF0\x9F\x88\xB8" "SQUARED CJK UNIFIED IDEOGRAPH-7533"
"211" "🈹" "\xF0\x9F\x88\xB9" "SQUARED CJK UNIFIED IDEOGRAPH-5272"
"212" "🈺" "\xF0\x9F\x88\xBA" "SQUARED CJK UNIFIED IDEOGRAPH-55B6"
"213" "🉐" "\xF0\x9F\x89\x90" "CIRCLED IDEOGRAPH ADVANTAGE"
"214" "🉑" "\xF0\x9F\x89\x91" "CIRCLED IDEOGRAPH ACCEPT"
"215" "©" "\xC2\xA9" "COPYRIGHT SIGN"
"216" "®" "\xC2\xAE" "REGISTERED SIGN"
"217" "‼" "\xE2\x80\xBC" "DOUBLE EXCLAMATION MARK"
"218" "⁉" "\xE2\x81\x89" "EXCLAMATION QUESTION MARK"
"219" "8⃣" "\x38\xE2\x83\xA3" "DIGIT EIGHT + COMBINING ENCLOSING KEYCAP"
"220" "9⃣" "\x39\xE2\x83\xA3" "DIGIT NINE + COMBINING ENCLOSING KEYCAP"
"221" "7⃣" "\x37\xE2\x83\xA3" "DIGIT SEVEN + COMBINING ENCLOSING KEYCAP"
"222" "6⃣" "\x36\xE2\x83\xA3" "DIGIT SIX + COMBINING ENCLOSING KEYCAP"
"223" "1⃣" "\x31\xE2\x83\xA3" "DIGIT ONE + COMBINING ENCLOSING KEYCAP"
"224" "0⃣" "\x30\xE2\x83\xA3" "DIGIT ZERO + COMBINING ENCLOSING KEYCAP"
"225" "2⃣" "\x32\xE2\x83\xA3" "DIGIT TWO + COMBINING ENCLOSING KEYCAP"
"226" "3⃣" "\x33\xE2\x83\xA3" "DIGIT THREE + COMBINING ENCLOSING KEYCAP"
"227" "5⃣" "\x35\xE2\x83\xA3" "DIGIT FIVE + COMBINING ENCLOSING KEYCAP"
