"Native" "Bytes" "Description"
"718" "🔖" "\xF0\x9F\x94\x96" "BOOKMARK"
"719" "🔗" "\xF0\x9F\x94\x97" "LINK SYMBOL"
"720" "🔘" "\xF0\x9F\x94\x98" "RADIO BUTTON"
"721" "🔙" "\xF0\x9F\x94\x99" "BACK WITH LEFTWARDS ARROW ABOVE"
"722" "🔚" "\xF0\x9F\x94\x9A" "END WITH LEFTWARDS ARROW ABOVE"
"723" "🔛" "\xF0\x9F\x94\x9B" "ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE"
"724" "🔜" "\xF0\x9F\x94\x9C" "SOON WITH RIGHTWARDS ARROW ABOVE"
"725" "🔝" "\xF0\x9F\x94\x9D" "TOP WITH UPWARDS ARROW ABOVE"
"726" "🔞" "\xF0\x9F\x94\x9E" "NO ONE UNDER EIGHTEEN SYMBOL"
"727" "🔟" "\xF0\x9F\x94\x9F" "KEYCAP TEN"
"728" "🔠" "\xF0\x9F\x94\xA0" "INPUT SYMBOL FOR LATIN CAPITAL LETTERS"
"729" "🔡" "\xF0\x9F\x94\xA1" "INPUT SYMBOL FOR LATIN SMALL LETTERS"
"730" "🔢" "\xF0\x9F\x94\xA2" "INPUT SYMBOL FOR NUMBERS"
"731" "🔣" "\xF0\x9F\x94\xA3" "INPUT SYMBOL FOR SYMBOLS"
"732" "🔤" "\xF0\x9F\x94\xA4" "INPUT SYMBOL FOR LATIN LETTERS"
"733" "🔥" "\xF0\x9F\x94\xA5" "FIRE"
"734" "🔦" "\xF0\x9F\x94\xA6" "ELECTRIC TORCH"
"735" "🔧" "\xF0\x9F\x94\xA7" "WRENCH"
"736" "🔨" "\xF0\x9F\x94\xA8" "HAMMER"
"737" "🔩" "\xF0\x9F\x94\xA9" "NUT AND BOLT"
"738" "🔪" "\xF0\x9F\x94\xAA" "HOCHO"
"739" "🔫" "\xF0\x9F\x94\xAB" "PISTOL"
"740" "🔮" "\xF0\x9F\x94\xAE" "CRYSTAL BALL"
"741" "🔯" "\xF0\x9F\x94\xAF" "SIX POINTED STAR WITH MIDDLE DOT"
"742" "🔰" "\xF0\x9F\x94\xB0" "JAPANESE SYMBOL FOR BEGINNER"
"743" "🔱" "\xF0\x9F\x94\xB1" "TRIDENT EMBLEM"
"744" "🔲" "\xF0\x9F\x94\xB2" "BLACK SQUARE BUTTON"
"745" "🔳" "\xF0\x9F\x94\xB3" "WHITE SQUARE BUTTON"
"746" "🔴" "\xF0\x9F\x94\xB4" "LARGE RED CIRCLE"
"747" "🔵" "\xF0\x9F\x94\xB5" "LARGE BLUE CIRCLE"
"748" "🔶" "\xF0\x9F\x94\xB6" "LARGE ORANGE DIAMOND"
"749" "🔷" "\xF0\x9F\x94\xB7" "LARGE BLUE DIAMOND"
"750" "🔸" "\xF0\x9F\x94\xB8" "SMALL ORANGE DIAMOND"
"751" "🔹" "\xF0\x9F\x94\xB9" "SMALL BLUE DIAMOND"
"752" "🔺" "\xF0\x9F\x94\xBA" "UP-POINTING RED TRIANGLE"
"753" "🔻" "\xF0\x9F\x94\xBB" "DOWN-POINTING RED TRIANGLE"
"754" "🔼" "\xF0\x9F\x94\xBC" "UP-POINTING SMALL RED TRIANGLE"
"755" "🔽" "\xF0\x9F\x94\xBD" "DOWN-POINTING SMALL RED TRIANGLE"
"756" "🕐" "\xF0\x9F\x95\x90" "CLOCK FACE ONE OCLOCK"
"757" "🕑" "\xF0\x9F\x95\x91" "CLOCK FACE TWO OCLOCK"
"758" "🕒" "\xF0\x9F\x95\x92" "CLOCK FACE THREE OCLOCK"
"759" "🕓" "\xF0\x9F\x95\x93" "CLOCK FACE FOUR OCLOCK"
"760" "🕔" "\xF0\x9F\x95\x94" "CLOCK FACE FIVE OCLOCK"
"761" "🕕" "\xF0\x9F\x95\x95" "CLOCK FACE SIX OCLOCK"
"762" "🕖" "\xF0\x9F\x95\x96" "CLOCK FACE SEVEN OCLOCK"
"763" "🕗" "\xF0\x9F\x95\x97" "CLOCK FACE EIGHT OCLOCK"
"764" "🕘" "\xF0\x9F\x95\x98" "CLOCK FACE NINE OCLOCK"
"765" "🕙" "\xF0\x9F\x95\x99" "CLOCK FACE TEN OCLOCK"
"766" "🕚" "\xF0\x9F\x95\x9A" "CLOCK FACE ELEVEN OCLOCK"
"767" "🕛" "\xF0\x9F\x95\x9B" "CLOCK FACE TWELVE OCLOCK"
"768" "🗻" "\xF0\x9F\x97\xBB" "MOUNT FUJI"
"769" "🗼" "\xF0\x9F\x97\xBC" "TOKYO TOWER"
"770" "🗽" "\xF0\x9F\x97\xBD" "STATUE OF LIBERTY"
"771" "🗾" "\xF0\x9F\x97\xBE" "SILHOUETTE OF JAPAN"
"772" "🗿" "\xF0\x9F\x97\xBF" "MOYAI"
"773" "🌍" "\xF0\x9F\x8C\x8D" "EARTH GLOBE EUROPE-AFRICA"
"774" "🌎" "\xF0\x9F\x8C\x8E" "EARTH GLOBE AMERICAS"
"775" "🌐" "\xF0\x9F\x8C\x90" "GLOBE WITH MERIDIANS"
"776" "🌒" "\xF0\x9F\x8C\x92" "WAXING CRESCENT MOON SYMBOL"
"777" "🌖" "\xF0\x9F\x8C\x96" "WANING GIBBOUS MOON SYMBOL"
"778" "🌗" "\xF0\x9F\x8C\x97" "LAST QUARTER MOON SYMBOL"
"779" "🌘" "\xF0\x9F\x8C\x98" "WANING CRESCENT MOON SYMBOL"
"780" "🌚" "\xF0\x9F\x8C\x9A" "NEW MOON WITH FACE"
"781" "🌜" "\xF0\x9F\x8C\x9C" "LAST QUARTER MOON WITH FACE"
"782" "🌝" "\xF0\x9F\x8C\x9D" "FULL MOON WITH FACE"
"783" "🌞" "\xF0\x9F\x8C\x9E" "SUN WITH FACE"
"784" "🌲" "\xF0\x9F\x8C\xB2" "EVERGREEN TREE"
"785" "🌳" "\xF0\x9F\x8C\xB3" "DECIDUOUS TREE"
"786" "🍋" "\xF0\x9F\x8D\x8B" "LEMON"
"787" "🍐" "\xF0\x9F\x8D\x90" "PEAR"
"788" "🍼" "\xF0\x9F\x8D\xBC" "BABY BOTTLE"
"789" "🏇" "\xF0\x9F\x8F\x87" "HORSE RACING"
"790" "🏉" "\xF0\x9F\x8F\x89" "RUGBY FOOTBALL"
"791" "🏤" "\xF0\x9F\x8F\xA4" "EUROPEAN POST OFFICE"
"792" "🐀" "\xF0\x9F\x90\x80" "RAT"
"793" "🐁" "\xF0\x9F\x90\x81" "MOUSE"
"794" "🐂" "\xF0\x9F\x90\x82" "OX"
"795" "🐃" "\xF0\x9F\x90\x83" "WATER BUFFALO"
"796" "🐄" "\xF0\x9F\x90\x84" "COW"
"797" "🐅" "\xF0\x9F\x90\x85" "TIGER"
"798" "🐆" "\xF0\x9F\x90\x86" "LEOPARD"
"799" "🐇" "\xF0\x9F\x90\x87" "RABBIT"
"800" "🐈" "\xF0\x9F\x90\x88" "CAT"
"801" "🐉" "\xF0\x9F\x90\x89" "DRAGON"
"802" "🐊" "\xF0\x9F\x90\x8A" "CROCODILE"
"803" "🐋" "\xF0\x9F\x90\x8B" "WHALE"
"804" "🐏" "\xF0\x9F\x90\x8F" "RAM"
"805" "🐐" "\xF0\x9F\x90\x90" "GOAT"
"806" "🐓" "\xF0\x9F\x90\x93" "ROOSTER"
"807" "🐕" "\xF0\x9F\x90\x95" "DOG"
"808" "🐖" "\xF0\x9F\x90\x96" "PIG"
"809" "🐪" "\xF0\x9F\x90\xAA" "DROMEDARY CAMEL"
"810" "👥" "\xF0\x9F\x91\xA5" "BUSTS IN SILHOUETTE"
"811" "👬" "\xF0\x9F\x91\xAC" "TWO MEN HOLDING HANDS"
"812" "👭" "\xF0\x9F\x91\xAD" "TWO WOMEN HOLDING HANDS"
"813" "💭" "\xF0\x9F\x92\xAD" "THOUGHT BALLOON"
"814" "💶" "\xF0\x9F\x92\xB6" "BANKNOTE WITH EURO SIGN"
"815" "💷" "\xF0\x9F\x92\xB7" "BANKNOTE WITH POUND SIGN"
"816" "📬" "\xF0\x9F\x93\xAC" "OPEN MAILBOX WITH RAISED FLAG"
"817" "📭" "\xF0\x9F\x93\xAD" "OPEN MAILBOX WITH LOWERED FLAG"
"818" "📯" "\xF0\x9F\x93\xAF" "POSTAL HORN"
"819" "📵" "\xF0\x9F\x93\xB5" "NO MOBILE PHONES"
"820" "🔀" "\xF0\x9F\x94\x80" "TWISTED RIGHTWARDS ARROWS"
"821" "🔁" "\xF0\x9F\x94\x81" "CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS"
"822" "🔂" "\xF0\x9F\x94\x82" "CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY"
"823" "🔄" "\xF0\x9F\x94\x84" "ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS"
"824" "🔅" "\xF0\x9F\x94\x85" "LOW BRIGHTNESS SYMBOL"
"825" "🔆" "\xF0\x9F\x94\x86" "HIGH BRIGHTNESS SYMBOL"
"826" "🔇" "\xF0\x9F\x94\x87" "SPEAKER WITH CANCELLATION STROKE"
"827" "🔉" "\xF0\x9F\x94\x89" "SPEAKER WITH ONE SOUND WAVE"
"828" "🔕" "\xF0\x9F\x94\x95" "BELL WITH CANCELLATION STROKE"
"829" "🔬" "\xF0\x9F\x94\xAC" "MICROSCOPE"
"830" "🔭" "\xF0\x9F\x94\xAD" "TELESCOPE"
"831" "🕜" "\xF0\x9F\x95\x9C" "CLOCK FACE ONE-THIRTY"
"832" "🕝" "\xF0\x9F\x95\x9D" "CLOCK FACE TWO-THIRTY"
"833" "🕞" "\xF0\x9F\x95\x9E" "CLOCK FACE THREE-THIRTY"
"834" "🕟" "\xF0\x9F\x95\x9F" "CLOCK FACE FOUR-THIRTY"
"835" "🕠" "\xF0\x9F\x95\xA0" "CLOCK FACE FIVE-THIRTY"
"836" "🕡" "\xF0\x9F\x95\xA1" "CLOCK FACE SIX-THIRTY"
"837" "🕢" "\xF0\x9F\x95\xA2" "CLOCK FACE SEVEN-THIRTY"
"838" "🕣" "\xF0\x9F\x95\xA3" "CLOCK FACE EIGHT-THIRTY"
"839" "🕤" "\xF0\x9F\x95\xA4" "CLOCK FACE NINE-THIRTY"
"840" "🕥" "\xF0\x9F\x95\xA5" "CLOCK FACE TEN-THIRTY"
"841" "🕦" "\xF0\x9F\x95\xA6" "CLOCK FACE ELEVEN-THIRTY"
"842" "🕧" "\xF0\x9F\x95\xA7" "CLOCK FACE TWELVE-THIRTY"
